DATE,COMNAM,TICKER,PERMNO
1986-01-07,OPTIMUM MANUFACTURING INC,OMFGA,10000
1986-01-09,GREAT FALLS GAS CO,GFGC,10001
1993-11-22,ENERGY WEST INC,EWST,10001
2009-08-04,ENERGY INC,EGAS,10001
2010-07-09,GAS NATURAL INC,EGAS,10001
1986-01-10,MOBILE NATIONAL CORP,MBNC,10002
1993-09-30,SOUTH ALABAMA BANCORPORATION INC,SABC,10002
2002-05-15,BANCTRUST FINANCIAL GROUP INC,BTFG,10002
1986-01-14,GREAT COUNTRY BK ASONIA CT,GCBK,10003
1986-01-15,WESTERN ENERGY RESOURCES INC,WERC,10005
1925-12-31,AMERICAN CAR & FDRY CO,,10006
1954-06-01,A C F INDUSTRIES INC,,10006
1962-07-02,A C F INDUSTRIES INC,ACF,10006
1986-01-16,SHAREDATA INC,SDIC,10007
1987-06-03,SHAREDATA INC,SDICV,10007
1987-07-13,SHAREDATA INC,SDIC,10007
1987-12-22,SHAREDATA INC,,10007
1989-02-22,SHAREDATA INC,SHRD,10007
1986-01-16,GARDENAMERICA CORP,GACO,10008
1986-01-17,CAYUGA SAVINGS BANK NY,CAYB,10009
1990-03-02,IROQUOIS BANCORP INC,IROQ,10009
1986-01-17,CABOT MEDICAL CORP,CBOT,10010
1988-06-08,A T C ENVIRONMENTAL INC,ATCE,10011
1996-10-18,A T C GROUP SERVICES INC,ATCS,10011
1986-01-22,DENSE PACIFIC MICROSYSTEMS INC,DPAC,10012
1987-08-04,DENSE PACIFIC MICROSYSTEMS INC,,10012
1987-10-23,DENSE PACIFIC MICROSYSTEMS INC,DPAC,10012
2001-08-21,D P A C TECHNOLOGIES CORP,DPAC,10012
1986-01-22,ARIZONA APPETITOS STORES INC,AAPI,10013
1926-01-04,ALASKA JUNEAU GOLD MNG CO,,10014
1959-06-26,A J INDUSTRIES INC,,10014
1962-07-02,A J INDUSTRIES INC,AJ,10014
1983-09-20,A & M FOOD SERVICES INC,AMFD,10015
1986-01-24,FIGGIE INTERNATIONAL HLDGS INC,FIGIA,10016
1986-12-29,FIGGIE INTERNATIONAL INC DEL,FIGIA,10016
1998-05-26,SCOTT TECHNOLOGIES INC,SCTTA,10016
1998-12-16,SCOTT TECHNOLOGIES INC,SCTT,10016
1986-01-24,CONCURRENT COMPUTER CORP,CCUR,10017
1986-01-24,DELTA COMPUTEC INC,DCIS,10018
1986-01-24,I F R SYSTEMS INC,IFRS,10019
1986-01-27,KEY CENTURION BANCSHARES,KEYC,10020
1986-01-27,BRAINERD INTERNATIONAL INC,BIRI,10021
1972-12-14,A A I CORP,,10023
1986-01-29,DOCUGRAPHIX INC,DOCX,10024
1986-01-30,A E P INDUSTRIES INC,AEPI,10025
1986-02-04,J & J SNACK FOODS CORP,JJSF,10026
1986-02-04,TELECOMMUNICATIONS NETWORK INC,TNII,10027
1986-02-05,CANYON STATE CORP,MINT,10028
1986-06-25,AMERICAN PACIFIC MINT INC,MINT,10028
1992-03-18,AMERICAN PACIFIC MINT INC,DLS,10028
1992-07-24,DALLAS GOLD & SILVER EXCHANGE IN,DLS,10028
1999-06-30,DALLAS GOLD & SILVER EXCHANGE IN,DGSE,10028
2001-07-05,D G S E COMPANIES INC,DGSE,10028
2007-10-31,D G S E COMPANIES INC,DGC,10028
2009-08-17,D G S E COMPANIES INC,DGSE,10028
2019-12-18,ENVELA CORP,ELA,10028
1986-02-05,A I F S INC,AIFS,10029
1987-12-31,A I F S INC,AIF,10029
1925-12-31,AMERICAN BRAKE SHOE & FDRY,,10030
1943-04-27,AMERICAN BRAKE SHOE CO,,10030
1962-07-02,AMERICAN BRAKE SHOE CO,ABK,10030
1966-05-06,ABEX CORP,ABK,10030
1983-12-07,A A IMPORTING INC,ANTQ,10031
1986-02-05,PLEXUS CORP,PLXS,10032
1986-02-05,MIDAMERICA BANCSYSTEM INC,MABK,10033
1986-02-06,HOME & CITY SVGS BK ALBANY NY,HCSB,10034
1986-02-06,GOOD GUYS INC,GGUY,10035
1986-02-06,NEUROTECH CORP,NURO,10036
1986-02-06,FRANKLIN S & L ASSN STHPLD MI,FSLA,10037
1988-11-30,FRANKLIN SAVINGS BANK FSB,FSVB,10037
1991-09-03,FRANKLIN BANK NATL ASSOC,FSVB,10037
2002-10-24,FRANKLIN BANCORP INC,FBCP,10037
1986-02-06,PORTS OF CALL INC,POCI,10038
1990-05-21,P O C I INC,POCI,10038
1986-02-07,XIOX CORP,XIOX,10039
2000-04-03,AT COMM CORP,ATCM,10039
1986-02-07,4G DATA SYSTEMS INC,GGGG,10041
1986-02-07,CANYON RESOURCES CORP,CYNR,10042
1996-08-19,CANYON RESOURCES CORP,CAU,10042
1986-02-11,ANALYSIS & TECHNOLOGY INC,AATI,10043
1986-02-11,ROCKY MOUNTAIN CHOCOLATE FAC INC,RMCF,10044
2015-03-02,ROCKY MOUNTAIN CHOC FAC INC NEW,RMCF,10044
1986-02-11,OLIVERS STORES INC,OLVR,10045
1986-02-14,COMMERCIAL PROGRAMMING UNLMTD,CPUIA,10046
1994-08-01,UNIVERSAL FRANCHISE OPPTYS CORP,MENUA,10046
1994-08-02,UNIVERSAL FRANCHISE OPPTYS CORP,MENU,10046
1986-02-11,TEXSTYRENE CORP,FOAM,10047
1989-10-23,ARIS CORP,LMNT,10047
1991-04-16,LAMONTS CORP,LMNT,10047
1992-11-02,LAMONTS APPAREL INC,LMNT,10047
1986-02-12,CENTURY COMMUNICATIONS CORP,CCCO,10048
1988-07-18,CENTURY COMMUNICATIONS CORP,CTY,10048
1995-01-05,CENTURY COMMUNICATIONS CORP,CTYA,10048
1972-12-29,AMERICAN BLDGS CO,ABLD,10050
1978-01-03,A B C INVESTMENT CO,ABCC,10050
1986-02-14,SEQUEL CORP,SEQL,10051
1989-08-14,HANGER ORTHOPEDIC GROUP INC,HOGG,10051
1990-11-12,HANGER ORTHOPEDIC GROUP INC,HNGR,10051
1991-05-01,HANGER ORTHOPEDIC GROUP INC,HGR,10051
2012-06-14,HANGER INC,HGR,10051
2016-02-29,HANGER INC,,10051
2018-09-12,HANGER INC,HNGR,10051
1986-02-14,VIDEO LIBRARY INC,VLVL,10052
1986-02-14,CARDINAL INDUSTRIES INC,CDNI,10053
1986-02-14,BIO NUTRIONICS INC,BNUI,10054
1986-02-14,GREAT AMERICAN RECREATION INC,GRAR,10055
1986-02-14,NEW MILFORD SAVINGS BANK,NMSB,10056
1987-10-20,NEWMIL BANCORP INC,NMSB,10056
2000-10-02,NEWMIL BANCORP INC,NMIL,10056
1925-12-31,NATIONAL ACME CO,,10057
1962-07-02,NATIONAL ACME CO,NCM,10057
1968-10-28,ACME CLEVELAND CORP,AMT,10057
1991-10-01,ACME CLEVELAND CORP NEW,AMT,10057
1972-12-14,A B K C O INDUSTRIES INC,ABKC,10058
1974-11-27,A B K C O INDUSTRIES INC,,10058
1975-01-24,A B K C O INDUSTRIES INC,ABKC,10058
1986-02-19,UNITED SAVINGS BANK VIENNA VA,USBK,10061
1986-02-19,NORTHEAST OHIO AXLE INC,NOAX,10062
1986-05-13,N E O A X INC,NOAX,10062
1989-11-15,ENVIROSOURCE INC,ENSO,10062
1986-02-19,N M R CENTERS INC,NMRC,10063
1987-05-14,AMERICAN HEALTH SVCS CORP,AHTS,10063
1986-02-20,TYCO TOYS INC,TTOY,10064
1991-11-21,TYCO TOYS INC,TTI,10064
1983-08-25,ABM COMPUTER SYS,ABMC,10066
1987-02-27,FRANKLIN TELECOMMUNICATIONS CORP,FTCO,10066
1990-01-30,FRANKLIN TELECOMMUNICATIONS CORP,,10066
1999-03-18,FRANKLIN TELECOMMUNICATIONS CORP,FCM,10066
2002-08-26,FRANKLIN TELECOMMUNICATIONS CORP,,10066
2008-01-22,FRANKLIN WIRELESS CORP,,10066
2021-03-29,FRANKLIN WIRELESS CORP,FKWL,10066
1986-02-20,HYGEIA SCIENCES INC,HYGA,10067
1986-02-21,AMERICAN PROPERTY GROUPS INC,APGI,10068
1986-02-24,ACA JOE INTERCON LTD,AJIL,10069
1986-02-27,DIGITEXT INC,DIGT,10070
1986-02-28,ALEX BROWN INC,ABSB,10071
1992-03-09,ALEX BROWN INC,AB,10071
1986-02-28,DEWS LABORATORIES INC,DEWS,10072
1988-01-12,SUMMA RX LABORATORIES INC,SMRX,10072
1991-03-25,SUMMA RX LABORATORIES INC,,10072
1992-01-31,SUMMA RX LABORATORIES INC,SMRX,10072
1982-01-18,A B S INDUSTRIES INC,ABSI,10074
1986-03-03,V W R CORP,VWRX,10075
1995-09-28,V W R SCIENTIFIC PRODUCTS CORP,VWRX,10075
1986-03-03,SCAT HOVERCRAFT INC,SCAT,10076
1986-04-10,SPROUSE REITZ STORES INC,STRS,10077
1986-03-04,SUN MICROSYSTEMS INC,SUNW,10078
2007-08-27,SUN MICROSYSTEMS INC,JAVA,10078
1986-03-04,GENERAL COMPUTER CORP,GCCC,10079
1986-03-05,MOORE HANDLEY INC,MHCO,10080
1983-03-21,A C S ENTERPRISE INC,ACSE,10082
1991-07-25,A C S ENTERPRISE INC,,10082
1992-12-15,A C S ENTERPRISES,ACSE,10082
1986-03-05,TEKNOWLEDGE INC,TKAI,10083
1989-02-27,CIMFLEX TEKNOWLEDGE CORP,CMTK,10083
1986-03-05,CRAFTMATIC CONTOUR INDS INC,CRCC,10084
1993-07-19,CRAFTMATIC INDUSTRIES INC,CRCC,10084
1986-03-06,UNITED INSURANCE COS INC,UICI,10085
1996-07-02,U I C I,UICI,10085
1999-04-30,U I C I,UCI,10085
1986-03-06,L S B BANCSHARES INC SC,LBSC,10086
1986-03-06,BEAUTICONTROL COSMETICS INC,BUTI,10087
1986-03-06,V R BUSINESS BROKERS INC,VRBB,10088
1986-03-07,SYNERCOM TECHNOLOGY INC,SYNR,10089
1995-04-21,ALPHA TECHNOLOGIES GROUP INC,ATGI,10089
1986-03-07,AMERICAN MOBILE SYSTEMS INC,AMSE,10090
1986-03-07,INTERACTIVE TECHNOLOGIES INC,ITXI,10091
1986-03-07,LEISURE CONCEPTS INC,LCIC,10092
1995-11-17,4 KIDS ENTERTAINMENT INC,KIDE,10092
2000-09-20,4 KIDS ENTERTAINMENT INC,KDE,10092
1986-03-07,ASSOCIATED INNS & REST CO AMER,AIRC,10093
1987-12-30,AIRCOA HOSPITALITY SVCS INC,AIRC,10093
1986-03-07,TUESDAY MORNING INC,TUES,10094
1991-11-01,TUESDAY MORNING CORP,TUES,10094
1986-03-07,SYNERGEN INC,SYGN,10095
1986-03-11,CITIZENS BANK NC,CIBA,10096
1986-03-10,FACELIFTERS HOME SYSTEMS INC,FACE,10097
1988-04-26,FACELIFTERS HOME SYSTEMS INC,,10097
1991-08-06,FACELIFTERS HOME SYSTEMS INC,FACE,10097
1994-05-03,FACELIFTERS HOME SYSTEMS INC,FIX,10097
1994-08-08,FACELIFTERS HOME SYSTEMS INC,FACE,10097
1986-03-11,POLY TECH INC,PTEK,10098
1986-09-03,POLY TECH INC,POLY,10098
1986-03-11,AMERICAN BIOMATERIALS CORP,ABCI,10099
1986-03-11,AMERICAN CLAIMS EVALUATION INC,AMCE,10100
2010-03-23,AMERICAN LEARNING CORP NY,ALRN,10100
1986-03-12,PACER CORP WA,PACR,10101
1925-12-31,AIR REDUCTION INC,,10102
1962-07-02,AIR REDUCTION INC,AN,10102
1971-10-01,AIRCO INC,AN,10102
1977-03-23,A C S INDUSTRIES INC,ACSC,10103
1986-03-12,ORACLE SYSTEMS CORP,ORCL,10104
1995-06-01,ORACLE CORP,ORCL,10104
1986-03-12,TOPS MARKETS INC,TPPS,10105
1986-03-12,LINCOLN MUTUAL SAVINGS BANK,LNSB,10106
1986-03-14,LINCOLN SAVINGS BANK CARNEGIE PA,LNSB,10106
1986-03-13,MICROSOFT CORP,MSFT,10107
1986-03-13,SUNGARD DATA SYSTEMS INC,SNDT,10108
